0.0001,0,0,9.5516,Infinity
0.0011,0.0974,9.3713,9.5516,2162.0748
0.0035,0.2494,15.7814,9.5517,Infinity
0.0077,0.4116,15.9943,9.5517,Infinity
0.0134,0.5756,16.6185,9.5517,Infinity
0.0208,0.7391,16.2411,9.5518,2148.9021
0.0298,0.9028,16.5372,9.5519,Infinity
0.0405,1.0661,16.3045,9.5519,Infinity
0.0527,1.2301,16.4256,9.5521,Infinity
0.0667,1.3943,16.3547,9.5522,Infinity
0.0823,1.5586,16.4379,9.5524,Infinity
0.0996,1.7227,16.3784,9.5526,Infinity
0.1184,1.8866,16.4431,9.5528,Infinity
0.1389,2.0505,16.3459,9.5531,2070.0061
0.161,2.2145,16.4535,9.5534,Infinity
0.1848,2.3783,16.3689,9.5538,2883.767
0.2103,2.5425,16.3834,9.5542,2859.7396
0.2373,2.7065,16.4305,9.5547,2834.2695
0.266,2.8703,16.4003,9.5553,2807.2744
0.2963,3.0342,16.3779,9.556,2778.677
0.3283,3.1982,16.4201,9.5568,2748.6268
0.362,3.3623,16.3705,9.5577,1921.4492
0.3971,3.5262,16.4375,9.5588,1549.9484
0.4341,3.6901,16.3665,9.56,1529.9104
0.4726,3.8541,16.429,9.5613,1307.0239
0.5128,4.0181,16.3675,9.5629,1487.2811
0.5546,4.1821,16.4257,9.5647,1268.5883
0.598,4.346,16.3922,9.5667,1116.5779
0.6432,4.51,16.3851,9.569,1097.6938
0.6899,4.674,16.4176,9.5715,911.3822
0.7383,4.838,16.3919,9.5745,894.3204
0.7884,5.0021,16.3887,9.5778,773.2701
0.84,5.1661,16.4196,9.5816,685.0592
0.8933,5.33,16.3843,9.5859,616.4892
0.9482,5.494,16.4155,9.5907,580.4874
1.0048,5.6579,16.386,9.5962,529.9451
1.063,5.822,16.4035,9.6025,474.0347
1.1229,5.986,16.3937,9.6096,428.8055
1.1843,6.15,16.4119,9.6176,390.9888
1.2475,6.3139,16.3933,9.6268,352.3113
1.3123,6.4779,16.391,9.6373,319.9734
1.3787,6.6419,16.4128,9.6492,284.682
1.4467,6.8059,16.392,9.6628,253.0426
1.5165,6.9699,16.3969,9.6784,227.0886
1.5878,7.1339,16.4038,9.6964,200.2135
1.6608,7.2979,16.3949,9.7171,178.3382
1.7354,7.4619,16.4079,9.7411,157.1412
1.8116,7.6258,16.3906,9.7689,137.596
1.8895,7.7899,16.4037,9.8013,119.6025
1.969,7.9498,16.0053,9.8393,103.9289
2.049,7.9997,4.9873,9.8837,89.6033
2.129,7.9997,-0.0004,9.9354,77.1757
2.209,7.9997,-0.0004,9.9957,66.0762
2.289,7.9997,-0.0004,10.0663,56.2349
2.369,7.9997,-0.0004,10.1495,47.5321
2.449,7.9997,-0.0004,10.2482,39.9384
2.529,7.9997,-0.0004,10.3662,33.2868
2.609,7.9997,-0.0004,10.5085,27.5057
2.689,7.9997,-0.0004,10.6819,22.5209
2.769,7.9997,-0.0004,10.8955,18.2459
2.849,7.9997,-0.0003,11.1621,14.6219
2.929,7.9997,-0.0002,11.4997,11.5893
3.0089,7.9997,-0.0001,11.9338,9.0935
3.0885,7.9575,-4.2184,12.4999,7.0942
3.1665,7.8001,-15.7466,13.2399,5.5604
3.2429,7.6361,-16.3953,14.2055,4.4309
3.3176,7.4721,-16.3979,15.4546,3.6573
3.3907,7.3082,-16.3927,17.0188,3.2117
3.4623,7.1605,-14.7678,18.8391,3.1126
3.5345,7.2249,6.4393,20.7178,3.5299
3.6084,7.3889,16.4029,22.3124,5.3037
3.684,7.553,16.4103,23.2922,16.0711
3.7611,7.7171,16.4056,23.5987,23.3992
3.8399,7.8812,16.4069,23.419,11.0862
3.9199,7.9961,11.4919,22.983,9.5317
3.9999,8.0003,0.4212,22.4551,9.5355
