0,0,0,2.0882,-46.3302,0,0,0
0.0001,0.0079,0.75,2.0881,-46.3284,0.0105,0.0001,-0.0001
0.0003,0.0158,0.75,2.0879,-46.3244,0.0211,0.0002,-0.0002
0.0005,0.0259,1.0462,2.0875,-46.3178,0.0307,0.0004,-0.0004
0.0009,0.0354,1.013,2.0871,-46.3085,0.0401,0.0006,-0.0006
0.0013,0.0453,0.9517,2.0865,-46.2957,0.0505,0.0009,-0.001
0.0019,0.0553,1.0459,2.0858,-46.2797,0.0601,0.0013,-0.0013
0.0025,0.0652,0.9666,2.085,-46.2607,0.0703,0.0017,-0.0018
0.0033,0.0752,1.0133,2.0841,-46.2381,0.0802,0.0023,-0.0024
0.0041,0.0853,0.9936,2.083,-46.2124,0.0903,0.0029,-0.003
0.0051,0.0952,1.0094,2.0818,-46.1836,0.1002,0.0035,-0.0037
0.0061,0.1052,0.9943,2.0804,-46.1516,0.1102,0.0042,-0.0044
0.0073,0.1151,1.0074,2.079,-46.1166,0.12,0.005,-0.0052
0.0085,0.125,0.995,2.0774,-46.0784,0.13,0.0059,-0.0061
0.0099,0.135,0.9961,2.0757,-46.0367,0.14,0.0068,-0.0071
0.0113,0.1451,0.997,2.0738,-45.9914,0.1501,0.0078,-0.0082
0.0129,0.1551,1.0062,2.0719,-45.943,0.1601,0.0089,-0.0093
0.0145,0.1651,0.997,2.0698,-45.8914,0.1702,0.0101,-0.0105
0.0163,0.1751,1.0053,2.0676,-45.8367,0.1801,0.0113,-0.0117
0.0181,0.1851,0.9972,2.0653,-45.7788,0.1901,0.0126,-0.013
0.0201,0.1951,0.9977,2.0629,-45.7173,0.2001,0.0139,-0.0144
0.0221,0.2051,1.0046,2.0603,-45.6527,0.21,0.0154,-0.0159
0.0243,0.215,0.9978,2.0576,-45.5849,0.22,0.0169,-0.0174
0.0265,0.225,0.9981,2.0548,-45.5135,0.23,0.0185,-0.019
0.0289,0.2351,0.9984,2.0519,-45.4384,0.2401,0.0201,-0.0207
0.0313,0.2451,1.0041,2.0489,-45.3601,0.2501,0.0218,-0.0225
0.0339,0.2551,0.9984,2.0457,-45.2787,0.2601,0.0236,-0.0243
0.0365,0.2651,0.9987,2.0425,-45.1936,0.2701,0.0255,-0.0262
0.0393,0.2751,1.0037,2.0391,-45.1053,0.28,0.0274,-0.0281
0.0421,0.285,0.9987,2.0357,-45.0137,0.29,0.0294,-0.0301
0.0451,0.295,0.9989,2.0321,-44.9185,0.3,0.0315,-0.0322
0.0481,0.305,0.999,2.0284,-44.8196,0.3101,0.0337,-0.0344
0.0513,0.315,1.0034,2.0246,-44.7174,0.32,0.0359,-0.0366
0.0545,0.325,0.9949,2.0206,-44.6115,0.3301,0.0383,-0.0389
0.0579,0.3351,1.0034,2.0166,-44.5018,0.3401,0.0406,-0.0412
0.0613,0.345,0.9993,2.0125,-44.3889,0.3501,0.0431,-0.0436
0.0649,0.3551,0.9994,2.0083,-44.2722,0.3601,0.0456,-0.0461
0.0685,0.365,1.0032,2.004,-44.1523,0.37,0.0483,-0.0486
0.0723,0.375,0.9958,1.9995,-44.0285,0.38,0.051,-0.0512
0.0761,0.385,1.0031,1.995,-43.901,0.39,0.0537,-0.0539
0.0801,0.395,0.9962,1.9904,-43.7696,0.4001,0.0566,-0.0566
0.0841,0.4051,1.0031,1.9857,-43.6345,0.41,0.0595,-0.0594
0.0883,0.415,0.9997,1.9809,-43.4959,0.42,0.0625,-0.0623
0.0925,0.425,0.9998,1.976,-43.3535,0.43,0.0656,-0.0652
0.0969,0.435,0.9999,1.971,-43.2073,0.44,0.0688,-0.0682
0.1013,0.445,0.9999,1.966,-43.0572,0.45,0.072,-0.0712
0.1059,0.455,1,1.9608,-42.9032,0.46,0.0754,-0.0743
0.1105,0.465,1,1.9556,-42.7453,0.47,0.0788,-0.0775
0.1153,0.475,1.0001,1.9503,-42.5835,0.48,0.0823,-0.0807
0.1201,0.485,1.0001,1.9449,-42.4177,0.49,0.0859,-0.084
0.1251,0.495,0.9975,1.9394,-42.2475,0.5,0.0895,-0.0873
0.1301,0.505,1.0029,1.9339,-42.0734,0.51,0.0933,-0.0907
0.1353,0.515,1.0002,1.9283,-41.8957,0.52,0.0971,-0.0941
0.1405,0.525,0.9978,1.9226,-41.7136,0.53,0.101,-0.0976
0.1459,0.535,1.0004,1.9168,-41.527,0.54,0.105,-0.1012
0.1513,0.545,1.0028,1.911,-41.3368,0.55,0.1091,-0.1047
0.1569,0.555,0.998,1.9051,-41.1425,0.56,0.1133,-0.1084
0.1625,0.565,0.9982,1.8992,-40.9433,0.57,0.1176,-0.1121
0.1683,0.575,1.0029,1.8932,-40.74,0.58,0.1219,-0.1159
0.1741,0.585,0.9983,1.8871,-40.5325,0.59,0.1264,-0.1197
