0,0,0,13.252,-11.5346,0,0,0
0.0002,0.0137,1.25,13.2447,-11.5342,0.011,0.0002,0
0.0005,0.0315,1.8613,13.2319,-11.5332,0.0205,0.0005,-0.0001
0.001,0.0505,2.0036,13.2116,-11.5314,0.03,0.0009,-0.0002
0.0017,0.0702,1.9276,13.1769,-11.5288,0.0402,0.0016,-0.0003
0.0026,0.0904,2.0302,13.137,-11.5252,0.0502,0.0025,-0.0005
0.0037,0.1104,1.9903,13.0899,-11.5207,0.0602,0.0036,-0.0007
0.005,0.1304,2.0161,13.0295,-11.5153,0.0701,0.0049,-0.001
0.0065,0.1502,1.9914,12.9665,-11.5091,0.0801,0.0063,-0.0013
0.0082,0.1702,1.9944,12.8908,-11.5018,0.0901,0.008,-0.0016
0.0101,0.1901,2.0113,12.8112,-11.4936,0.1,0.0099,-0.002
0.0122,0.2102,1.9813,12.7196,-11.4845,0.1101,0.0119,-0.0024
0.0145,0.2302,2.0109,12.621,-11.4743,0.1201,0.0142,-0.0029
0.017,0.2501,2.0086,12.5195,-11.4632,0.13,0.0166,-0.0034
0.0197,0.2701,1.9857,12.4078,-11.451,0.1401,0.0193,-0.0039
0.0226,0.2901,2.0086,12.2903,-11.4377,0.15,0.0221,-0.0045
0.0257,0.3101,1.9978,12.1676,-11.4234,0.16,0.0252,-0.0051
0.029,0.3301,1.9984,12.0366,-11.408,0.17,0.0284,-0.0058
0.0325,0.3501,1.9988,11.9015,-11.3914,0.18,0.0318,-0.0065
0.0362,0.3701,1.9992,11.7595,-11.3736,0.1901,0.0355,-0.0072
0.0401,0.3901,2.0069,11.6147,-11.3546,0.2,0.0393,-0.0079
0.0442,0.4101,1.992,11.4642,-11.3344,0.2101,0.0433,-0.0088
0.0485,0.4301,2.0067,11.3106,-11.3128,0.22,0.0475,-0.0096
0.053,0.4501,1.9932,11.1512,-11.2899,0.2301,0.0519,-0.0105
0.0577,0.4701,2.0065,10.9912,-11.2657,0.24,0.0565,-0.0114
0.0626,0.4901,1.9941,10.8268,-11.2399,0.25,0.0614,-0.0124
0.0677,0.5101,2.0063,10.658,-11.2128,0.26,0.0663,-0.0133
0.073,0.53,1.9949,10.4887,-11.184,0.27,0.0715,-0.0144
0.0785,0.5501,2.0009,10.3162,-11.1536,0.28,0.0769,-0.0154
0.0842,0.5701,2.001,10.1422,-11.1216,0.29,0.0825,-0.0165
0.0901,0.59,2.0011,9.9664,-11.0879,0.3,0.0883,-0.0177
0.0962,0.61,1.9965,9.7894,-11.0524,0.31,0.0943,-0.0188
0.1025,0.6301,2.0015,9.6117,-11.0149,0.32,0.1005,-0.02
0.109,0.6501,2.0016,9.4332,-10.9756,0.33,0.1069,-0.0213
0.1157,0.67,2.0016,9.2544,-10.9343,0.34,0.1134,-0.0225
0.1226,0.69,1.9935,9.075,-10.8907,0.35,0.1202,-0.0239
0.1297,0.71,2.0062,8.8973,-10.845,0.36,0.1272,-0.0252
0.137,0.73,1.9981,8.7179,-10.7972,0.37,0.1344,-0.0266
0.1445,0.75,1.9985,8.539,-10.7468,0.38,0.1417,-0.028
0.1522,0.77,2.0025,8.362,-10.694,0.39,0.1493,-0.0294
0.1601,0.79,1.9954,8.185,-10.6386,0.4,0.1571,-0.0308
0.1682,0.8101,2.0028,8.0096,-10.5804,0.41,0.165,-0.0323
0.1765,0.83,2.0028,7.8356,-10.5196,0.42,0.1732,-0.0338
0.185,0.85,1.9962,7.6628,-10.4558,0.43,0.1816,-0.0354
0.1937,0.87,1.9999,7.4908,-10.3889,0.44,0.1901,-0.037
0.2026,0.89,2.0033,7.3212,-10.3189,0.45,0.1989,-0.0386
0.2117,0.91,1.9972,7.1537,-10.2455,0.46,0.2078,-0.0402
0.221,0.93,2.0005,6.9876,-10.1687,0.47,0.217,-0.0418
0.2305,0.95,2.0007,6.824,-10.0882,0.48,0.2263,-0.0435
0.2402,0.97,1.998,6.662,-10.004,0.49,0.2359,-0.0452
0.2501,0.99,2.0012,6.5023,-9.9157,0.5,0.2456,-0.0469
