Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.09 (s),   Velocity: 2.09 (m/s),   Accel:   1.00 (m/s/s),   X:  2.70 (m),   Y:  2.02 (m),   Rot:  0.7562 (rads),   Rot:   43.33 (deg),   Curve:   -0.39 (rads/m)
Time: 2.13 (s),   Velocity: 2.13 (m/s),   Accel:   1.00 (m/s/s),   X:  2.77 (m),   Y:  2.08 (m),   Rot:  0.7208 (rads),   Rot:   41.30 (deg),   Curve:   -0.43 (rads/m)
Time: 2.17 (s),   Velocity: 2.17 (m/s),   Accel:   1.00 (m/s/s),   X:  2.83 (m),   Y:  2.13 (m),   Rot:  0.6815 (rads),   Rot:   39.05 (deg),   Curve:   -0.47 (rads/m)
Time: 2.21 (s),   Velocity: 2.21 (m/s),   Accel:   1.00 (m/s/s),   X:  2.90 (m),   Y:  2.19 (m),   Rot:  0.6385 (rads),   Rot:   36.59 (deg),   Curve:   -0.51 (rads/m)
Time: 2.25 (s),   Velocity: 2.25 (m/s),   Accel:   1.00 (m/s/s),   X:  2.97 (m),   Y:  2.24 (m),   Rot:  0.5922 (rads),   Rot:   33.93 (deg),   Curve:   -0.54 (rads/m)
Time: 2.29 (s),   Velocity: 2.29 (m/s),   Accel:   1.00 (m/s/s),   X:  3.05 (m),   Y:  2.29 (m),   Rot:  0.5430 (rads),   Rot:   31.11 (deg),   Curve:   -0.56 (rads/m)
Time: 2.33 (s),   Velocity: 2.33 (m/s),   Accel:   1.00 (m/s/s),   X:  3.13 (m),   Y:  2.33 (m),   Rot:  0.4941 (rads),   Rot:   28.31 (deg),   Curve:   -0.51 (rads/m)
Time: 2.37 (s),   Velocity: 2.37 (m/s),   Accel:   1.00 (m/s/s),   X:  3.21 (m),   Y:  2.37 (m),   Rot:  0.4483 (rads),   Rot:   25.68 (deg),   Curve:   -0.47 (rads/m)
Time: 2.41 (s),   Velocity: 2.41 (m/s),   Accel:   1.00 (m/s/s),   X:  3.30 (m),   Y:  2.41 (m),   Rot:  0.4052 (rads),   Rot:   23.22 (deg),   Curve:   -0.44 (rads/m)
Time: 2.45 (s),   Velocity: 2.45 (m/s),   Accel:   1.00 (m/s/s),   X:  3.38 (m),   Y:  2.45 (m),   Rot:  0.3647 (rads),   Rot:   20.90 (deg),   Curve:   -0.41 (rads/m)
Time: 2.49 (s),   Velocity: 2.49 (m/s),   Accel:   1.00 (m/s/s),   X:  3.48 (m),   Y:  2.48 (m),   Rot:  0.3265 (rads),   Rot:   18.70 (deg),   Curve:   -0.38 (rads/m)
Time: 2.53 (s),   Velocity: 2.53 (m/s),   Accel:   1.00 (m/s/s),   X:  3.57 (m),   Y:  2.51 (m),   Rot:  0.2902 (rads),   Rot:   16.63 (deg),   Curve:   -0.35 (rads/m)
Time: 2.57 (s),   Velocity: 2.57 (m/s),   Accel:   1.00 (m/s/s),   X:  3.67 (m),   Y:  2.54 (m),   Rot:  0.2558 (rads),   Rot:   14.65 (deg),   Curve:   -0.33 (rads/m)
Time: 2.61 (s),   Velocity: 2.61 (m/s),   Accel:   1.00 (m/s/s),   X:  3.77 (m),   Y:  2.56 (m),   Rot:  0.2229 (rads),   Rot:   12.77 (deg),   Curve:   -0.32 (rads/m)
Time: 2.64 (s),   Velocity: 2.64 (m/s),   Accel:   1.00 (m/s/s),   X:  3.87 (m),   Y:  2.58 (m),   Rot:  0.1914 (rads),   Rot:   10.96 (deg),   Curve:   -0.30 (rads/m)
Time: 2.68 (s),   Velocity: 2.68 (m/s),   Accel:   1.00 (m/s/s),   X:  3.97 (m),   Y:  2.60 (m),   Rot:  0.1610 (rads),   Rot:    9.23 (deg),   Curve:   -0.29 (rads/m)
Time: 2.72 (s),   Velocity: 2.72 (m/s),   Accel:   1.00 (m/s/s),   X:  4.07 (m),   Y:  2.62 (m),   Rot:  0.1316 (rads),   Rot:    7.54 (deg),   Curve:   -0.28 (rads/m)
Time: 2.76 (s),   Velocity: 2.76 (m/s),   Accel:   1.00 (m/s/s),   X:  4.17 (m),   Y:  2.63 (m),   Rot:  0.1031 (rads),   Rot:    5.91 (deg),   Curve:   -0.27 (rads/m)
Time: 2.80 (s),   Velocity: 2.80 (m/s),   Accel:   1.00 (m/s/s),   X:  4.28 (m),   Y:  2.64 (m),   Rot:  0.0752 (rads),   Rot:    4.31 (deg),   Curve:   -0.26 (rads/m)
