Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 3.29 (s),   Velocity: 2.81 (m/s),   Accel:   3.00 (m/s/s),   X:  6.32 (m),   Y:  2.61 (m),   Rot: -0.6241 (rads),   Rot:  -35.76 (deg),   Curve:    0.14 (rads/m)
Time: 3.31 (s),   Velocity: 2.89 (m/s),   Accel:   3.00 (m/s/s),   X:  6.38 (m),   Y:  2.57 (m),   Rot: -0.6125 (rads),   Rot:  -35.10 (deg),   Curve:    0.18 (rads/m)
Time: 3.34 (s),   Velocity: 2.96 (m/s),   Accel:   3.00 (m/s/s),   X:  6.44 (m),   Y:  2.53 (m),   Rot: -0.5981 (rads),   Rot:  -34.27 (deg),   Curve:    0.22 (rads/m)
Time: 3.36 (s),   Velocity: 3.03 (m/s),   Accel:   3.00 (m/s/s),   X:  6.50 (m),   Y:  2.49 (m),   Rot: -0.5807 (rads),   Rot:  -33.27 (deg),   Curve:    0.27 (rads/m)
Time: 3.39 (s),   Velocity: 3.10 (m/s),   Accel:   3.00 (m/s/s),   X:  6.56 (m),   Y:  2.45 (m),   Rot: -0.5601 (rads),   Rot:  -32.09 (deg),   Curve:    0.31 (rads/m)
Time: 3.41 (s),   Velocity: 3.17 (m/s),   Accel:   3.00 (m/s/s),   X:  6.62 (m),   Y:  2.41 (m),   Rot: -0.5360 (rads),   Rot:  -30.71 (deg),   Curve:    0.37 (rads/m)
Time: 3.43 (s),   Velocity: 3.23 (m/s),   Accel:   3.00 (m/s/s),   X:  6.68 (m),   Y:  2.38 (m),   Rot: -0.5082 (rads),   Rot:  -29.12 (deg),   Curve:    0.43 (rads/m)
Time: 3.45 (s),   Velocity: 3.30 (m/s),   Accel:   3.00 (m/s/s),   X:  6.74 (m),   Y:  2.34 (m),   Rot: -0.4762 (rads),   Rot:  -27.29 (deg),   Curve:    0.50 (rads/m)
Time: 3.47 (s),   Velocity: 3.36 (m/s),   Accel:   3.00 (m/s/s),   X:  6.80 (m),   Y:  2.31 (m),   Rot: -0.4397 (rads),   Rot:  -25.19 (deg),   Curve:    0.58 (rads/m)
Time: 3.49 (s),   Velocity: 3.42 (m/s),   Accel:   3.00 (m/s/s),   X:  6.86 (m),   Y:  2.29 (m),   Rot: -0.3981 (rads),   Rot:  -22.81 (deg),   Curve:    0.67 (rads/m)
Time: 3.51 (s),   Velocity: 3.47 (m/s),   Accel:   0.89 (m/s/s),   X:  6.92 (m),   Y:  2.26 (m),   Rot: -0.3540 (rads),   Rot:  -20.28 (deg),   Curve:    0.68 (rads/m)
Time: 3.53 (s),   Velocity: 3.49 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.98 (m),   Y:  2.24 (m),   Rot: -0.3103 (rads),   Rot:  -17.78 (deg),   Curve:    0.68 (rads/m)
Time: 3.57 (s),   Velocity: 3.38 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.10 (m),   Y:  2.21 (m),   Rot: -0.2258 (rads),   Rot:  -12.94 (deg),   Curve:    0.66 (rads/m)
Time: 3.60 (s),   Velocity: 3.27 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.22 (m),   Y:  2.18 (m),   Rot: -0.1475 (rads),   Rot:   -8.45 (deg),   Curve:    0.60 (rads/m)
Time: 3.64 (s),   Velocity: 3.15 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.34 (m),   Y:  2.17 (m),   Rot: -0.0776 (rads),   Rot:   -4.45 (deg),   Curve:    0.53 (rads/m)
Time: 3.68 (s),   Velocity: 3.03 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.47 (m),   Y:  2.17 (m),   Rot: -0.0176 (rads),   Rot:   -1.01 (deg),   Curve:    0.44 (rads/m)
Time: 3.72 (s),   Velocity: 2.91 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.59 (m),   Y:  2.17 (m),   Rot:  0.0317 (rads),   Rot:    1.81 (deg),   Curve:    0.35 (rads/m)
Time: 3.77 (s),   Velocity: 2.77 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.72 (m),   Y:  2.17 (m),   Rot:  0.0701 (rads),   Rot:    4.02 (deg),   Curve:    0.26 (rads/m)
Time: 3.79 (s),   Velocity: 2.70 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.78 (m),   Y:  2.18 (m),   Rot:  0.0853 (rads),   Rot:    4.89 (deg),   Curve:    0.21 (rads/m)
Time: 3.82 (s),   Velocity: 2.63 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.85 (m),   Y:  2.18 (m),   Rot:  0.0978 (rads),   Rot:    5.60 (deg),   Curve:    0.17 (rads/m)
Time: 3.84 (s),   Velocity: 2.55 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.91 (m),   Y:  2.19 (m),   Rot:  0.1078 (rads),   Rot:    6.17 (deg),   Curve:    0.13 (rads/m)
Time: 3.87 (s),   Velocity: 2.47 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.98 (m),   Y:  2.20 (m),   Rot:  0.1152 (rads),   Rot:    6.60 (deg),   Curve:    0.09 (rads/m)
Time: 3.90 (s),   Velocity: 2.39 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.05 (m),   Y:  2.21 (m),   Rot:  0.1202 (rads),   Rot:    6.89 (deg),   Curve:    0.06 (rads/m)
Time: 3.92 (s),   Velocity: 2.30 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.11 (m),   Y:  2.21 (m),   Rot:  0.1229 (rads),   Rot:    7.04 (deg),   Curve:    0.02 (rads/m)
Time: 3.95 (s),   Velocity: 2.21 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.18 (m),   Y:  2.22 (m),   Rot:  0.1232 (rads),   Rot:    7.06 (deg),   Curve:   -0.01 (rads/m)
Time: 3.99 (s),   Velocity: 2.12 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.25 (m),   Y:  2.23 (m),   Rot:  0.1214 (rads),   Rot:    6.96 (deg),   Curve:   -0.04 (rads/m)
Time: 4.02 (s),   Velocity: 2.01 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.32 (m),   Y:  2.24 (m),   Rot:  0.1175 (rads),   Rot:    6.73 (deg),   Curve:   -0.07 (rads/m)
Time: 4.06 (s),   Velocity: 1.91 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.39 (m),   Y:  2.25 (m),   Rot:  0.1115 (rads),   Rot:    6.39 (deg),   Curve:   -0.10 (rads/m)
Time: 4.10 (s),   Velocity: 1.79 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.46 (m),   Y:  2.26 (m),   Rot:  0.1035 (rads),   Rot:    5.93 (deg),   Curve:   -0.12 (rads/m)
Time: 4.14 (s),   Velocity: 1.66 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.54 (m),   Y:  2.26 (m),   Rot:  0.0936 (rads),   Rot:    5.37 (deg),   Curve:   -0.15 (rads/m)
Time: 4.18 (s),   Velocity: 1.52 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.61 (m),   Y:  2.27 (m),   Rot:  0.0820 (rads),   Rot:    4.70 (deg),   Curve:   -0.17 (rads/m)
Time: 4.24 (s),   Velocity: 1.37 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.69 (m),   Y:  2.27 (m),   Rot:  0.0687 (rads),   Rot:    3.93 (deg),   Curve:   -0.19 (rads/m)
Time: 4.30 (s),   Velocity: 1.19 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.76 (m),   Y:  2.28 (m),   Rot:  0.0537 (rads),   Rot:    3.08 (deg),   Curve:   -0.21 (rads/m)
Time: 4.37 (s),   Velocity: 0.97 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.84 (m),   Y:  2.28 (m),   Rot:  0.0372 (rads),   Rot:    2.13 (deg),   Curve:   -0.22 (rads/m)
Time: 4.46 (s),   Velocity: 0.69 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.92 (m),   Y:  2.29 (m),   Rot:  0.0193 (rads),   Rot:    1.10 (deg),   Curve:   -0.24 (rads/m)
Time: 4.69 (s),   Velocity: 0.00 (m/s),   Accel:  -3.00 (m/s/s),   X:  9.00 (m),   Y:  2.29 (m),   Rot: -0.0000 (rads),   Rot:   -0.00 (deg),   Curve:   -0.25 (rads/m)


Trajectory Summary: Total Seconds: 4.69 (s); Total points in the Trajectory: 160
<EOF>
