Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 1.94 (s),   Velocity: 2.07 (m/s),   Accel:   3.00 (m/s/s),   X:  4.00 (m),   Y:  1.71 (m),   Rot:  1.0934 (rads),   Rot:   62.65 (deg),   Curve:    1.46 (rads/m)
Time: 1.96 (s),   Velocity: 2.13 (m/s),   Accel:   3.00 (m/s/s),   X:  4.02 (m),   Y:  1.74 (m),   Rot:  1.1468 (rads),   Rot:   65.71 (deg),   Curve:    1.22 (rads/m)
Time: 1.98 (s),   Velocity: 2.19 (m/s),   Accel:   3.00 (m/s/s),   X:  4.03 (m),   Y:  1.78 (m),   Rot:  1.1932 (rads),   Rot:   68.37 (deg),   Curve:    1.02 (rads/m)
Time: 2.01 (s),   Velocity: 2.30 (m/s),   Accel:   3.00 (m/s/s),   X:  4.06 (m),   Y:  1.87 (m),   Rot:  1.2689 (rads),   Rot:   72.70 (deg),   Curve:    0.73 (rads/m)
Time: 2.05 (s),   Velocity: 2.42 (m/s),   Accel:   3.00 (m/s/s),   X:  4.09 (m),   Y:  1.95 (m),   Rot:  1.3270 (rads),   Rot:   76.03 (deg),   Curve:    0.54 (rads/m)
Time: 2.09 (s),   Velocity: 2.54 (m/s),   Accel:   3.00 (m/s/s),   X:  4.11 (m),   Y:  2.05 (m),   Rot:  1.3718 (rads),   Rot:   78.60 (deg),   Curve:    0.40 (rads/m)
Time: 2.13 (s),   Velocity: 2.65 (m/s),   Accel:   3.00 (m/s/s),   X:  4.13 (m),   Y:  2.15 (m),   Rot:  1.4066 (rads),   Rot:   80.59 (deg),   Curve:    0.30 (rads/m)
Time: 2.17 (s),   Velocity: 2.76 (m/s),   Accel:   3.00 (m/s/s),   X:  4.14 (m),   Y:  2.25 (m),   Rot:  1.4334 (rads),   Rot:   82.13 (deg),   Curve:    0.23 (rads/m)
Time: 2.20 (s),   Velocity: 2.87 (m/s),   Accel:   3.00 (m/s/s),   X:  4.15 (m),   Y:  2.35 (m),   Rot:  1.4533 (rads),   Rot:   83.27 (deg),   Curve:    0.17 (rads/m)
Time: 2.24 (s),   Velocity: 2.97 (m/s),   Accel:   3.00 (m/s/s),   X:  4.17 (m),   Y:  2.45 (m),   Rot:  1.4673 (rads),   Rot:   84.07 (deg),   Curve:    0.11 (rads/m)
Time: 2.27 (s),   Velocity: 3.07 (m/s),   Accel:   3.00 (m/s/s),   X:  4.17 (m),   Y:  2.54 (m),   Rot:  1.4756 (rads),   Rot:   84.55 (deg),   Curve:    0.06 (rads/m)
Time: 2.30 (s),   Velocity: 3.16 (m/s),   Accel:  -0.05 (m/s/s),   X:  4.18 (m),   Y:  2.63 (m),   Rot:  1.4779 (rads),   Rot:   84.68 (deg),   Curve:   -0.01 (rads/m)
Time: 2.33 (s),   Velocity: 3.16 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.19 (m),   Y:  2.72 (m),   Rot:  1.4732 (rads),   Rot:   84.41 (deg),   Curve:   -0.10 (rads/m)
Time: 2.35 (s),   Velocity: 3.08 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.20 (m),   Y:  2.80 (m),   Rot:  1.4594 (rads),   Rot:   83.62 (deg),   Curve:   -0.26 (rads/m)
Time: 2.38 (s),   Velocity: 3.01 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.21 (m),   Y:  2.87 (m),   Rot:  1.4387 (rads),   Rot:   82.43 (deg),   Curve:   -0.33 (rads/m)
Time: 2.40 (s),   Velocity: 2.95 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.22 (m),   Y:  2.93 (m),   Rot:  1.4149 (rads),   Rot:   81.07 (deg),   Curve:   -0.43 (rads/m)
