Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:  10.00 (m/s/s),   X:  0.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.12 (s),   Velocity: 1.22 (m/s),   Accel:  10.00 (m/s/s),   X:  0.07 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.17 (s),   Velocity: 1.71 (m/s),   Accel:  10.00 (m/s/s),   X:  0.15 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.21 (s),   Velocity: 2.07 (m/s),   Accel:  10.00 (m/s/s),   X:  0.22 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.24 (s),   Velocity: 2.36 (m/s),   Accel:  10.00 (m/s/s),   X:  0.28 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.28 (s),   Velocity: 2.81 (m/s),   Accel:  10.00 (m/s/s),   X:  0.39 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.32 (s),   Velocity: 3.16 (m/s),   Accel:  10.00 (m/s/s),   X:  0.50 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.35 (s),   Velocity: 3.48 (m/s),   Accel:  10.00 (m/s/s),   X:  0.61 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.38 (s),   Velocity: 3.80 (m/s),   Accel:  10.00 (m/s/s),   X:  0.72 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.40 (s),   Velocity: 3.96 (m/s),   Accel:  10.00 (m/s/s),   X:  0.78 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.41 (s),   Velocity: 4.13 (m/s),   Accel:  10.00 (m/s/s),   X:  0.85 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.43 (s),   Velocity: 4.30 (m/s),   Accel:  10.00 (m/s/s),   X:  0.93 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.45 (s),   Velocity: 4.47 (m/s),   Accel:   3.02 (m/s/s),   X:  1.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.47 (s),   Velocity: 4.55 (m/s),   Accel:   0.22 (m/s/s),   X:  1.12 (m),   Y: -0.00 (m),   Rot: -0.0013 (rads),   Rot:   -0.08 (deg),   Curve:   -0.02 (rads/m)
Time: 0.50 (s),   Velocity: 4.56 (m/s),   Accel:  -3.73 (m/s/s),   X:  1.23 (m),   Y: -0.00 (m),   Rot: -0.0020 (rads),   Rot:   -0.11 (deg),   Curve:    0.01 (rads/m)
Time: 0.52 (s),   Velocity: 4.46 (m/s),   Accel:  -7.33 (m/s/s),   X:  1.35 (m),   Y: -0.00 (m),   Rot:  0.0028 (rads),   Rot:    0.16 (deg),   Curve:    0.08 (rads/m)
Time: 0.55 (s),   Velocity: 4.28 (m/s),   Accel: -10.00 (m/s/s),   X:  1.45 (m),   Y:  0.00 (m),   Rot:  0.0175 (rads),   Rot:    1.00 (deg),   Curve:    0.20 (rads/m)
Time: 0.57 (s),   Velocity: 4.04 (m/s),   Accel: -10.00 (m/s/s),   X:  1.56 (m),   Y:  0.00 (m),   Rot:  0.0465 (rads),   Rot:    2.67 (deg),   Curve:    0.37 (rads/m)
Time: 0.60 (s),   Velocity: 3.79 (m/s),   Accel: -10.00 (m/s/s),   X:  1.65 (m),   Y:  0.01 (m),   Rot:  0.0935 (rads),   Rot:    5.36 (deg),   Curve:    0.59 (rads/m)
Time: 0.62 (s),   Velocity: 3.53 (m/s),   Accel:  -8.74 (m/s/s),   X:  1.75 (m),   Y:  0.02 (m),   Rot:  0.1604 (rads),   Rot:    9.19 (deg),   Curve:    0.83 (rads/m)
Time: 0.65 (s),   Velocity: 3.30 (m/s),   Accel:  -5.79 (m/s/s),   X:  1.84 (m),   Y:  0.04 (m),   Rot:  0.2461 (rads),   Rot:   14.10 (deg),   Curve:    1.04 (rads/m)
Time: 0.66 (s),   Velocity: 3.22 (m/s),   Accel:  -3.50 (m/s/s),   X:  1.88 (m),   Y:  0.05 (m),   Rot:  0.2945 (rads),   Rot:   16.87 (deg),   Curve:    1.11 (rads/m)
Time: 0.68 (s),   Velocity: 3.17 (m/s),   Accel:  -1.16 (m/s/s),   X:  1.92 (m),   Y:  0.07 (m),   Rot:  0.3452 (rads),   Rot:   19.78 (deg),   Curve:    1.15 (rads/m)
Time: 0.69 (s),   Velocity: 3.15 (m/s),   Accel:   1.11 (m/s/s),   X:  1.96 (m),   Y:  0.08 (m),   Rot:  0.3970 (rads),   Rot:   22.74 (deg),   Curve:    1.15 (rads/m)
Time: 0.71 (s),   Velocity: 3.17 (m/s),   Accel:   3.19 (m/s/s),   X:  2.01 (m),   Y:  0.10 (m),   Rot:  0.4486 (rads),   Rot:   25.70 (deg),   Curve:    1.12 (rads/m)
