Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 12.15 (s),   Velocity: 0.00 (m/s),   Accel:   0.03 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -1.0965 (rads),   Rot:  -62.83 (deg),   Curve: 6183.97 (rads/m)
Time: 12.16 (s),   Velocity: 0.00 (m/s),   Accel:   0.05 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -1.0228 (rads),   Rot:  -58.60 (deg),   Curve: 5479.83 (rads/m)
Time: 12.16 (s),   Velocity: 0.00 (m/s),   Accel:   0.06 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.9550 (rads),   Rot:  -54.71 (deg),   Curve: 4808.70 (rads/m)
Time: 12.17 (s),   Velocity: 0.00 (m/s),   Accel:   0.08 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.8929 (rads),   Rot:  -51.16 (deg),   Curve: 4191.74 (rads/m)
Time: 12.18 (s),   Velocity: 0.00 (m/s),   Accel:   0.10 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.8364 (rads),   Rot:  -47.92 (deg),   Curve: 3639.10 (rads/m)
Time: 12.18 (s),   Velocity: 0.00 (m/s),   Accel:   0.13 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.7850 (rads),   Rot:  -44.98 (deg),   Curve: 3153.06 (rads/m)
Time: 12.18 (s),   Velocity: 0.00 (m/s),   Accel:   0.18 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.7383 (rads),   Rot:  -42.30 (deg),   Curve: 2730.96 (rads/m)
Time: 12.19 (s),   Velocity: 0.01 (m/s),   Accel:   0.28 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.6572 (rads),   Rot:  -37.65 (deg),   Curve: 2055.93 (rads/m)
Time: 12.20 (s),   Velocity: 0.01 (m/s),   Accel:   0.42 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.5899 (rads),   Rot:  -33.80 (deg),   Curve: 1562.50 (rads/m)
Time: 12.20 (s),   Velocity: 0.01 (m/s),   Accel:   0.61 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.5336 (rads),   Rot:  -30.57 (deg),   Curve: 1202.44 (rads/m)
Time: 12.21 (s),   Velocity: 0.01 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.4861 (rads),   Rot:  -27.85 (deg),   Curve:  938.01 (rads/m)
Time: 12.21 (s),   Velocity: 0.02 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.4109 (rads),   Rot:  -23.54 (deg),   Curve:  594.29 (rads/m)
Time: 12.22 (s),   Velocity: 0.02 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.3545 (rads),   Rot:  -20.31 (deg),   Curve:  395.45 (rads/m)
Time: 12.23 (s),   Velocity: 0.03 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.2763 (rads),   Rot:  -15.83 (deg),   Curve:  197.34 (rads/m)
Time: 12.24 (s),   Velocity: 0.04 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.2251 (rads),   Rot:  -12.90 (deg),   Curve:  111.12 (rads/m)
Time: 12.26 (s),   Velocity: 0.06 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.1624 (rads),   Rot:   -9.31 (deg),   Curve:   44.80 (rads/m)
Time: 12.27 (s),   Velocity: 0.08 (m/s),   Accel:   1.00 (m/s/s),   X:  0.64 (m),   Y:  2.54 (m),   Rot: -0.1258 (rads),   Rot:   -7.21 (deg),   Curve:   22.18 (rads/m)
Time: 12.31 (s),   Velocity: 0.11 (m/s),   Accel:   1.00 (m/s/s),   X:  0.65 (m),   Y:  2.54 (m),   Rot: -0.0848 (rads),   Rot:   -4.86 (deg),   Curve:    7.74 (rads/m)
Time: 12.44 (s),   Velocity: 0.25 (m/s),   Accel:   1.00 (m/s/s),   X:  0.67 (m),   Y:  2.54 (m),   Rot: -0.0317 (rads),   Rot:   -1.82 (deg),   Curve:    0.73 (rads/m)
Time: 12.72 (s),   Velocity: 0.52 (m/s),   Accel:  -0.37 (m/s/s),   X:  0.78 (m),   Y:  2.54 (m),   Rot: -0.0079 (rads),   Rot:   -0.45 (deg),   Curve:    0.08 (rads/m)
Time: 12.89 (s),   Velocity: 0.46 (m/s),   Accel:  -1.00 (m/s/s),   X:  0.86 (m),   Y:  2.54 (m),   Rot: -0.0032 (rads),   Rot:   -0.18 (deg),   Curve:    0.04 (rads/m)
Time: 13.35 (s),   Velocity: 0.00 (m/s),   Accel:  -1.00 (m/s/s),   X:  0.96 (m),   Y:  2.54 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.02 (rads/m)

