Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.66 (s),   Velocity: 3.57 (m/s),   Accel:  -0.62 (m/s/s),   X:  5.26 (m),   Y:  3.01 (m),   Rot:  0.4839 (rads),   Rot:   27.72 (deg),   Curve:   -0.71 (rads/m)
Time: 2.69 (s),   Velocity: 3.55 (m/s),   Accel:   3.00 (m/s/s),   X:  5.33 (m),   Y:  3.05 (m),   Rot:  0.4230 (rads),   Rot:   24.24 (deg),   Curve:   -0.73 (rads/m)
Time: 2.71 (s),   Velocity: 3.62 (m/s),   Accel:   3.00 (m/s/s),   X:  5.41 (m),   Y:  3.08 (m),   Rot:  0.3629 (rads),   Rot:   20.80 (deg),   Curve:   -0.67 (rads/m)
Time: 2.74 (s),   Velocity: 3.69 (m/s),   Accel:   3.00 (m/s/s),   X:  5.50 (m),   Y:  3.11 (m),   Rot:  0.3074 (rads),   Rot:   17.61 (deg),   Curve:   -0.61 (rads/m)
Time: 2.76 (s),   Velocity: 3.77 (m/s),   Accel:   3.00 (m/s/s),   X:  5.58 (m),   Y:  3.13 (m),   Rot:  0.2563 (rads),   Rot:   14.69 (deg),   Curve:   -0.54 (rads/m)
Time: 2.78 (s),   Velocity: 3.84 (m/s),   Accel:   3.00 (m/s/s),   X:  5.67 (m),   Y:  3.15 (m),   Rot:  0.2098 (rads),   Rot:   12.02 (deg),   Curve:   -0.48 (rads/m)
Time: 2.81 (s),   Velocity: 3.91 (m/s),   Accel:   3.00 (m/s/s),   X:  5.76 (m),   Y:  3.17 (m),   Rot:  0.1676 (rads),   Rot:    9.60 (deg),   Curve:   -0.43 (rads/m)
Time: 2.83 (s),   Velocity: 3.98 (m/s),   Accel:   3.00 (m/s/s),   X:  5.85 (m),   Y:  3.19 (m),   Rot:  0.1296 (rads),   Rot:    7.42 (deg),   Curve:   -0.38 (rads/m)
Time: 2.86 (s),   Velocity: 4.05 (m/s),   Accel:   3.00 (m/s/s),   X:  5.95 (m),   Y:  3.20 (m),   Rot:  0.0955 (rads),   Rot:    5.47 (deg),   Curve:   -0.33 (rads/m)
Time: 2.88 (s),   Velocity: 4.13 (m/s),   Accel:   0.42 (m/s/s),   X:  6.05 (m),   Y:  3.20 (m),   Rot:  0.0651 (rads),   Rot:    3.73 (deg),   Curve:   -0.29 (rads/m)
Time: 2.90 (s),   Velocity: 4.14 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.15 (m),   Y:  3.21 (m),   Rot:  0.0381 (rads),   Rot:    2.18 (deg),   Curve:   -0.25 (rads/m)
