Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 1.26 (s),   Velocity: 0.31 (m/s),   Accel:  10.00 (m/s/s),   X:  0.92 (m),   Y: -0.64 (m),   Rot:  0.6072 (rads),   Rot:   34.79 (deg),   Curve:   33.73 (rads/m)
Time: 1.26 (s),   Velocity: 0.36 (m/s),   Accel:  10.00 (m/s/s),   X:  0.92 (m),   Y: -0.64 (m),   Rot:  0.6634 (rads),   Rot:   38.01 (deg),   Curve:   27.82 (rads/m)
Time: 1.27 (s),   Velocity: 0.41 (m/s),   Accel:  10.00 (m/s/s),   X:  0.92 (m),   Y: -0.64 (m),   Rot:  0.7127 (rads),   Rot:   40.83 (deg),   Curve:   23.02 (rads/m)
Time: 1.27 (s),   Velocity: 0.46 (m/s),   Accel:  10.00 (m/s/s),   X:  0.93 (m),   Y: -0.64 (m),   Rot:  0.7560 (rads),   Rot:   43.31 (deg),   Curve:   19.14 (rads/m)
Time: 1.28 (s),   Velocity: 0.55 (m/s),   Accel:  10.00 (m/s/s),   X:  0.93 (m),   Y: -0.63 (m),   Rot:  0.8280 (rads),   Rot:   47.44 (deg),   Curve:   13.45 (rads/m)
Time: 1.29 (s),   Velocity: 0.63 (m/s),   Accel:  10.00 (m/s/s),   X:  0.93 (m),   Y: -0.63 (m),   Rot:  0.8848 (rads),   Rot:   50.69 (deg),   Curve:    9.69 (rads/m)
Time: 1.30 (s),   Velocity: 0.71 (m/s),   Accel:  10.00 (m/s/s),   X:  0.93 (m),   Y: -0.62 (m),   Rot:  0.9303 (rads),   Rot:   53.30 (deg),   Curve:    7.14 (rads/m)
Time: 1.31 (s),   Velocity: 0.87 (m/s),   Accel:  10.00 (m/s/s),   X:  0.94 (m),   Y: -0.61 (m),   Rot:  0.9975 (rads),   Rot:   57.15 (deg),   Curve:    4.12 (rads/m)
Time: 1.33 (s),   Velocity: 1.02 (m/s),   Accel:  10.00 (m/s/s),   X:  0.95 (m),   Y: -0.60 (m),   Rot:  1.0435 (rads),   Rot:   59.79 (deg),   Curve:    2.53 (rads/m)
Time: 1.36 (s),   Velocity: 1.31 (m/s),   Accel:  10.00 (m/s/s),   X:  0.97 (m),   Y: -0.57 (m),   Rot:  1.0990 (rads),   Rot:   62.97 (deg),   Curve:    1.06 (rads/m)
Time: 1.41 (s),   Velocity: 1.82 (m/s),   Accel:   5.36 (m/s/s),   X:  1.00 (m),   Y: -0.50 (m),   Rot:  1.1345 (rads),   Rot:   65.00 (deg),   Curve:   -0.00 (rads/m)
Time: 1.44 (s),   Velocity: 2.01 (m/s),   Accel: -10.00 (m/s/s),   X:  1.03 (m),   Y: -0.44 (m),   Rot:  1.1093 (rads),   Rot:   63.56 (deg),   Curve:   -0.78 (rads/m)
Time: 1.48 (s),   Velocity: 1.67 (m/s),   Accel: -10.00 (m/s/s),   X:  1.06 (m),   Y: -0.39 (m),   Rot:  1.0293 (rads),   Rot:   58.98 (deg),   Curve:   -1.95 (rads/m)
Time: 1.50 (s),   Velocity: 1.49 (m/s),   Accel: -10.00 (m/s/s),   X:  1.07 (m),   Y: -0.36 (m),   Rot:  0.9620 (rads),   Rot:   55.12 (deg),   Curve:   -2.94 (rads/m)
Time: 1.51 (s),   Velocity: 1.40 (m/s),   Accel: -10.00 (m/s/s),   X:  1.08 (m),   Y: -0.35 (m),   Rot:  0.9192 (rads),   Rot:   52.67 (deg),   Curve:   -3.60 (rads/m)
Time: 1.51 (s),   Velocity: 1.31 (m/s),   Accel: -10.00 (m/s/s),   X:  1.09 (m),   Y: -0.34 (m),   Rot:  0.8692 (rads),   Rot:   49.80 (deg),   Curve:   -4.42 (rads/m)
Time: 1.52 (s),   Velocity: 1.22 (m/s),   Accel: -10.00 (m/s/s),   X:  1.10 (m),   Y: -0.33 (m),   Rot:  0.8108 (rads),   Rot:   46.45 (deg),   Curve:   -5.43 (rads/m)
Time: 1.53 (s),   Velocity: 1.12 (m/s),   Accel: -10.00 (m/s/s),   X:  1.10 (m),   Y: -0.32 (m),   Rot:  0.7427 (rads),   Rot:   42.56 (deg),   Curve:   -6.65 (rads/m)
Time: 1.54 (s),   Velocity: 1.02 (m/s),   Accel: -10.00 (m/s/s),   X:  1.11 (m),   Y: -0.32 (m),   Rot:  0.6640 (rads),   Rot:   38.04 (deg),   Curve:   -8.08 (rads/m)
Time: 1.55 (s),   Velocity: 0.97 (m/s),   Accel: -10.00 (m/s/s),   X:  1.12 (m),   Y: -0.31 (m),   Rot:  0.6202 (rads),   Rot:   35.54 (deg),   Curve:   -8.87 (rads/m)
Time: 1.55 (s),   Velocity: 0.91 (m/s),   Accel: -10.00 (m/s/s),   X:  1.12 (m),   Y: -0.31 (m),   Rot:  0.5735 (rads),   Rot:   32.86 (deg),   Curve:   -9.70 (rads/m)
Time: 1.56 (s),   Velocity: 0.86 (m/s),   Accel:  -8.87 (m/s/s),   X:  1.13 (m),   Y: -0.31 (m),   Rot:  0.5237 (rads),   Rot:   30.01 (deg),   Curve:  -10.56 (rads/m)
Time: 1.57 (s),   Velocity: 0.81 (m/s),   Accel:  -7.27 (m/s/s),   X:  1.13 (m),   Y: -0.31 (m),   Rot:  0.4709 (rads),   Rot:   26.98 (deg),   Curve:  -11.41 (rads/m)
Time: 1.57 (s),   Velocity: 0.76 (m/s),   Accel:  -5.79 (m/s/s),   X:  1.13 (m),   Y: -0.30 (m),   Rot:  0.4151 (rads),   Rot:   23.78 (deg),   Curve:  -12.24 (rads/m)
Time: 1.58 (s),   Velocity: 0.73 (m/s),   Accel:  -4.40 (m/s/s),   X:  1.14 (m),   Y: -0.30 (m),   Rot:  0.3566 (rads),   Rot:   20.43 (deg),   Curve:  -13.00 (rads/m)
Time: 1.58 (s),   Velocity: 0.70 (m/s),   Accel:  -3.10 (m/s/s),   X:  1.14 (m),   Y: -0.30 (m),   Rot:  0.2956 (rads),   Rot:   16.94 (deg),   Curve:  -13.68 (rads/m)
Time: 1.59 (s),   Velocity: 0.68 (m/s),   Accel:  -1.85 (m/s/s),   X:  1.15 (m),   Y: -0.30 (m),   Rot:  0.2326 (rads),   Rot:   13.33 (deg),   Curve:  -14.22 (rads/m)
Time: 1.60 (s),   Velocity: 0.67 (m/s),   Accel:  -0.63 (m/s/s),   X:  1.15 (m),   Y: -0.30 (m),   Rot:  0.1679 (rads),   Rot:    9.62 (deg),   Curve:  -14.60 (rads/m)
Time: 1.60 (s),   Velocity: 0.66 (m/s),   Accel:   0.61 (m/s/s),   X:  1.16 (m),   Y: -0.30 (m),   Rot:  0.1022 (rads),   Rot:    5.86 (deg),   Curve:  -14.79 (rads/m)
Time: 1.61 (s),   Velocity: 0.67 (m/s),   Accel:   1.33 (m/s/s),   X:  1.16 (m),   Y: -0.30 (m),   Rot:  0.0360 (rads),   Rot:    2.06 (deg),   Curve:  -14.78 (rads/m)
Time: 1.62 (s),   Velocity: 0.67 (m/s),   Accel:   1.93 (m/s/s),   X:  1.16 (m),   Y: -0.30 (m),   Rot: -0.0300 (rads),   Rot:   -1.72 (deg),   Curve:  -14.57 (rads/m)
Time: 1.62 (s),   Velocity: 0.69 (m/s),   Accel:   3.21 (m/s/s),   X:  1.17 (m),   Y: -0.30 (m),   Rot: -0.0953 (rads),   Rot:   -5.46 (deg),   Curve:  -14.17 (rads/m)
Time: 1.63 (s),   Velocity: 0.71 (m/s),   Accel:   4.54 (m/s/s),   X:  1.17 (m),   Y: -0.30 (m),   Rot: -0.1593 (rads),   Rot:   -9.12 (deg),   Curve:  -13.60 (rads/m)
Time: 1.64 (s),   Velocity: 0.74 (m/s),   Accel:   5.94 (m/s/s),   X:  1.18 (m),   Y: -0.30 (m),   Rot: -0.2214 (rads),   Rot:  -12.68 (deg),   Curve:  -12.90 (rads/m)
Time: 1.64 (s),   Velocity: 0.78 (m/s),   Accel:   7.43 (m/s/s),   X:  1.18 (m),   Y: -0.30 (m),   Rot: -0.2812 (rads),   Rot:  -16.11 (deg),   Curve:  -12.11 (rads/m)
Time: 1.65 (s),   Velocity: 0.82 (m/s),   Accel:   9.03 (m/s/s),   X:  1.19 (m),   Y: -0.30 (m),   Rot: -0.3385 (rads),   Rot:  -19.39 (deg),   Curve:  -11.26 (rads/m)
Time: 1.66 (s),   Velocity: 0.87 (m/s),   Accel:  10.00 (m/s/s),   X:  1.19 (m),   Y: -0.30 (m),   Rot: -0.3930 (rads),   Rot:  -22.52 (deg),   Curve:  -10.39 (rads/m)
Time: 1.66 (s),   Velocity: 0.93 (m/s),   Accel:  10.00 (m/s/s),   X:  1.20 (m),   Y: -0.31 (m),   Rot: -0.4446 (rads),   Rot:  -25.47 (deg),   Curve:   -9.52 (rads/m)
Time: 1.67 (s),   Velocity: 0.99 (m/s),   Accel:  10.00 (m/s/s),   X:  1.20 (m),   Y: -0.31 (m),   Rot: -0.4932 (rads),   Rot:  -28.26 (deg),   Curve:   -8.67 (rads/m)
Time: 1.67 (s),   Velocity: 1.04 (m/s),   Accel:  10.00 (m/s/s),   X:  1.21 (m),   Y: -0.31 (m),   Rot: -0.5389 (rads),   Rot:  -30.87 (deg),   Curve:   -7.87 (rads/m)
Time: 1.68 (s),   Velocity: 1.10 (m/s),   Accel:  10.00 (m/s/s),   X:  1.21 (m),   Y: -0.32 (m),   Rot: -0.5817 (rads),   Rot:  -33.33 (deg),   Curve:   -7.12 (rads/m)
Time: 1.69 (s),   Velocity: 1.20 (m/s),   Accel:  10.00 (m/s/s),   X:  1.22 (m),   Y: -0.32 (m),   Rot: -0.6591 (rads),   Rot:  -37.76 (deg),   Curve:   -5.80 (rads/m)
Time: 1.70 (s),   Velocity: 1.30 (m/s),   Accel:  10.00 (m/s/s),   X:  1.23 (m),   Y: -0.33 (m),   Rot: -0.7265 (rads),   Rot:  -41.62 (deg),   Curve:   -4.70 (rads/m)
Time: 1.71 (s),   Velocity: 1.41 (m/s),   Accel:  10.00 (m/s/s),   X:  1.24 (m),   Y: -0.34 (m),   Rot: -0.7851 (rads),   Rot:  -44.98 (deg),   Curve:   -3.82 (rads/m)
Time: 1.72 (s),   Velocity: 1.51 (m/s),   Accel:  10.00 (m/s/s),   X:  1.25 (m),   Y: -0.35 (m),   Rot: -0.8362 (rads),   Rot:  -47.91 (deg),   Curve:   -3.12 (rads/m)
Time: 1.74 (s),   Velocity: 1.71 (m/s),   Accel:  10.00 (m/s/s),   X:  1.27 (m),   Y: -0.38 (m),   Rot: -0.9199 (rads),   Rot:  -52.70 (deg),   Curve:   -2.11 (rads/m)
Time: 1.76 (s),   Velocity: 1.91 (m/s),   Accel:  10.00 (m/s/s),   X:  1.29 (m),   Y: -0.41 (m),   Rot: -0.9846 (rads),   Rot:  -56.41 (deg),   Curve:   -1.47 (rads/m)
Time: 1.78 (s),   Velocity: 2.12 (m/s),   Accel:  10.00 (m/s/s),   X:  1.32 (m),   Y: -0.44 (m),   Rot: -1.0356 (rads),   Rot:  -59.33 (deg),   Curve:   -1.06 (rads/m)
Time: 1.82 (s),   Velocity: 2.52 (m/s),   Accel:  10.00 (m/s/s),   X:  1.36 (m),   Y: -0.52 (m),   Rot: -1.1095 (rads),   Rot:  -63.57 (deg),   Curve:   -0.59 (rads/m)
Time: 1.86 (s),   Velocity: 2.92 (m/s),   Accel:  10.00 (m/s/s),   X:  1.41 (m),   Y: -0.62 (m),   Rot: -1.1593 (rads),   Rot:  -66.43 (deg),   Curve:   -0.35 (rads/m)
Time: 1.90 (s),   Velocity: 3.32 (m/s),   Accel:  10.00 (m/s/s),   X:  1.45 (m),   Y: -0.74 (m),   Rot: -1.1944 (rads),   Rot:  -68.44 (deg),   Curve:   -0.23 (rads/m)
Time: 1.92 (s),   Velocity: 3.51 (m/s),   Accel:  10.00 (m/s/s),   X:  1.48 (m),   Y: -0.80 (m),   Rot: -1.2081 (rads),   Rot:  -69.22 (deg),   Curve:   -0.19 (rads/m)
Time: 1.94 (s),   Velocity: 3.70 (m/s),   Accel:  10.00 (m/s/s),   X:  1.50 (m),   Y: -0.86 (m),   Rot: -1.2198 (rads),   Rot:  -69.89 (deg),   Curve:   -0.16 (rads/m)
Time: 1.96 (s),   Velocity: 3.89 (m/s),   Accel:  10.00 (m/s/s),   X:  1.52 (m),   Y: -0.93 (m),   Rot: -1.2298 (rads),   Rot:  -70.46 (deg),   Curve:   -0.13 (rads/m)
