Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.87 (s),   Velocity: 2.32 (m/s),   Accel:   3.00 (m/s/s),   X:  5.84 (m),   Y:  2.82 (m),   Rot: -0.5799 (rads),   Rot:  -33.22 (deg),   Curve:   -0.23 (rads/m)
Time: 2.90 (s),   Velocity: 2.43 (m/s),   Accel:   3.00 (m/s/s),   X:  5.91 (m),   Y:  2.77 (m),   Rot: -0.5976 (rads),   Rot:  -34.24 (deg),   Curve:   -0.18 (rads/m)
Time: 2.94 (s),   Velocity: 2.54 (m/s),   Accel:   3.00 (m/s/s),   X:  5.99 (m),   Y:  2.72 (m),   Rot: -0.6123 (rads),   Rot:  -35.08 (deg),   Curve:   -0.15 (rads/m)
Time: 2.97 (s),   Velocity: 2.64 (m/s),   Accel:   3.00 (m/s/s),   X:  6.06 (m),   Y:  2.67 (m),   Rot: -0.6244 (rads),   Rot:  -35.77 (deg),   Curve:   -0.12 (rads/m)
Time: 3.01 (s),   Velocity: 2.75 (m/s),   Accel:   3.00 (m/s/s),   X:  6.14 (m),   Y:  2.61 (m),   Rot: -0.6343 (rads),   Rot:  -36.34 (deg),   Curve:   -0.09 (rads/m)
Time: 3.05 (s),   Velocity: 2.86 (m/s),   Accel:   3.00 (m/s/s),   X:  6.22 (m),   Y:  2.55 (m),   Rot: -0.6423 (rads),   Rot:  -36.80 (deg),   Curve:   -0.07 (rads/m)
Time: 3.08 (s),   Velocity: 2.96 (m/s),   Accel:   3.00 (m/s/s),   X:  6.30 (m),   Y:  2.49 (m),   Rot: -0.6486 (rads),   Rot:  -37.16 (deg),   Curve:   -0.05 (rads/m)
Time: 3.11 (s),   Velocity: 3.06 (m/s),   Accel:   3.00 (m/s/s),   X:  6.38 (m),   Y:  2.43 (m),   Rot: -0.6535 (rads),   Rot:  -37.44 (deg),   Curve:   -0.04 (rads/m)
Time: 3.15 (s),   Velocity: 3.16 (m/s),   Accel:   3.00 (m/s/s),   X:  6.46 (m),   Y:  2.37 (m),   Rot: -0.6569 (rads),   Rot:  -37.64 (deg),   Curve:   -0.03 (rads/m)
Time: 3.18 (s),   Velocity: 3.26 (m/s),   Accel:   3.00 (m/s/s),   X:  6.54 (m),   Y:  2.30 (m),   Rot: -0.6591 (rads),   Rot:  -37.76 (deg),   Curve:   -0.01 (rads/m)
Time: 3.21 (s),   Velocity: 3.35 (m/s),   Accel:   3.00 (m/s/s),   X:  6.63 (m),   Y:  2.24 (m),   Rot: -0.6600 (rads),   Rot:  -37.81 (deg),   Curve:   -0.00 (rads/m)
Time: 3.24 (s),   Velocity: 3.45 (m/s),   Accel:   3.00 (m/s/s),   X:  6.71 (m),   Y:  2.17 (m),   Rot: -0.6596 (rads),   Rot:  -37.79 (deg),   Curve:    0.01 (rads/m)
Time: 3.27 (s),   Velocity: 3.54 (m/s),   Accel:   3.00 (m/s/s),   X:  6.79 (m),   Y:  2.11 (m),   Rot: -0.6580 (rads),   Rot:  -37.70 (deg),   Curve:    0.02 (rads/m)
Time: 3.30 (s),   Velocity: 3.62 (m/s),   Accel:   1.44 (m/s/s),   X:  6.87 (m),   Y:  2.05 (m),   Rot: -0.6552 (rads),   Rot:  -37.54 (deg),   Curve:    0.03 (rads/m)
Time: 3.33 (s),   Velocity: 3.66 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.96 (m),   Y:  1.98 (m),   Rot: -0.6510 (rads),   Rot:  -37.30 (deg),   Curve:    0.05 (rads/m)
