Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.98 (s),   Velocity: 1.50 (m/s),   Accel:  -1.00 (m/s/s),   X:  3.88 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.06 (s),   Velocity: 1.41 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.14 (s),   Velocity: 1.33 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.12 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.23 (s),   Velocity: 1.24 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.23 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.33 (s),   Velocity: 1.14 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.35 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.44 (s),   Velocity: 1.03 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.47 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.57 (s),   Velocity: 0.90 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.59 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.64 (s),   Velocity: 0.83 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.65 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.72 (s),   Velocity: 0.75 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.72 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.82 (s),   Velocity: 0.65 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.79 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 3.93 (s),   Velocity: 0.54 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.86 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 4.09 (s),   Velocity: 0.38 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.93 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 4.47 (s),   Velocity: 0.00 (m/s),   Accel:  -1.00 (m/s/s),   X:  5.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)

